Model,Accuracy,F1,Recall,Precision,ROC-AUC,PR-AUC,MSE,MAE,RMSE,R2
SVM-BiLSTM-Log,0.583941605839416,0.7373271889400922,1.0,0.583941605839416,0.49780701754385964,0.7443621565024351,0.4091935282269571,,0.6396823651054929,-0.6842441515990698
SVM-GRU-Normal,0.5985401459854015,0.6961325966850829,0.7875,0.6237623762376238,0.6140350877192982,0.7391498108134826,0.24936760343926323,,0.49936720300722914,-0.0263992431911253
SVM-GRU-Absolute,0.583941605839416,0.7373271889400922,1.0,0.583941605839416,0.5699561403508773,0.7500532265027586,0.40139053700875416,,0.6335538943205654,-0.6521269712976552
SVM-GRU-Squared,0.583941605839416,0.7373271889400922,1.0,0.583941605839416,0.5197368421052632,0.6748606949245257,0.37003231901101136,,0.6083028185131245,-0.5230562709468578
SVM-GRU-Log,0.583941605839416,0.7373271889400922,1.0,0.583941605839416,0.4799342105263158,0.7631821096384153,0.4138709841690922,,0.6433280533049155,-0.703496601287213
SVM-CNN-LSTM-Normal,0.6058394160583942,0.6823529411764706,0.725,0.6444444444444445,0.6547149122807017,0.7374742676902231,0.23774352887778138,,0.4875895085805081,0.021445549669500297
SVM-CNN-LSTM-Absolute,0.583941605839416,0.7373271889400922,1.0,0.583941605839416,0.5081140350877192,0.7250680978960509,0.4033724448250105,,0.6351160876761118,-0.6602845212545223
SVM-CNN-LSTM-Squared,0.583941605839416,0.7373271889400922,1.0,0.583941605839416,0.5004385964912281,0.740379757240971,0.4087029219986827,,0.6392987736564827,-0.6822248120599288
SVM-CNN-LSTM-Log,0.583941605839416,0.7373271889400922,1.0,0.583941605839416,0.4743421052631579,0.7264467596004901,0.4092329590901773,,0.6397131850213635,-0.6844064493779689
MLP-LSTM-Normal,0.5985401459854015,0.6666666666666666,0.6875,0.6470588235294118,0.6451754385964912,0.7357887655164909,0.2531878492463027,,0.5031777511439697,-0.042123408443828
MLP-LSTM-Absolute,0.6058394160583942,0.7326732673267327,0.925,0.6065573770491803,0.5717105263157894,0.640860260848631,0.29150350908072453,,0.5399106491640302,-0.19983100042458735
MLP-LSTM-Squared,0.5766423357664233,0.7238095238095238,0.95,0.5846153846153846,0.593092105263158,0.7267674885412325,0.3148658947279075,,0.561129124825924,-0.2959907846815999
MLP-LSTM-Log,0.5766423357664233,0.7264150943396226,0.9625,0.5833333333333334,0.6024122807017545,0.7338570876229734,0.3145431869870861,,0.5608414989879815,-0.29466251678960953
MLP-BiLSTM-Normal,0.5985401459854015,0.6706586826347305,0.7,0.6436781609195402,0.6618421052631579,0.7675270207422641,0.24747349758648507,,0.4974670819124468,-0.018603086886126885
MLP-BiLSTM-Absolute,0.5985401459854015,0.7317073170731707,0.9375,0.6,0.5614035087719299,0.6983439563649333,0.3138299946856369,,0.5602053147602555,-0.2917270110207715
MLP-BiLSTM-Squared,0.583941605839416,0.7246376811594203,0.9375,0.5905511811023622,0.5939692982456141,0.7240335194071652,0.30760393107310674,,0.5546205288962055,-0.2661004785770045
MLP-BiLSTM-Log,0.583941605839416,0.7246376811594203,0.9375,0.5905511811023622,0.606140350877193,0.7192075265997697,0.3082210215862447,,0.5551765679369445,-0.2686404285421551
MLP-GRU-Normal,0.5912408759124088,0.6585365853658537,0.675,0.6428571428571429,0.6508771929824563,0.7649027666902726,0.25139148907072767,,0.50138955819874,-0.034729574203615776
MLP-GRU-Absolute,0.583941605839416,0.7192118226600985,0.9125,0.5934959349593496,0.5737938596491229,0.6634151403107915,0.2934809064711381,,0.5417387806601426,-0.20796998542912082
MLP-GRU-Squared,0.583941605839416,0.7323943661971831,0.975,0.5864661654135338,0.5975877192982457,0.738089609681025,0.3260514415950478,,0.5710091431799037,-0.3420305937055814
MLP-GRU-Log,0.583941605839416,0.7219512195121951,0.925,0.592,0.6060307017543859,0.7363823680815982,0.3105853259080746,,0.5573018265788069,-0.27837192587031856
MLP-CNN-LSTM-Normal,0.6204379562043796,0.6867469879518072,0.7125,0.6627906976744186,0.6429824561403509,0.750948080313314,0.25337973517595286,,0.5033683891306175,-0.042913212613477913
MLP-CNN-LSTM-Absolute,0.5912408759124088,0.7254901960784313,0.925,0.5967741935483871,0.580043859649123,0.6939693004272494,0.3037435244847531,,0.5511293173881726,-0.2502110111961253
MLP-CNN-LSTM-Squared,0.5912408759124088,0.7358490566037735,0.975,0.5909090909090909,0.5941885964912281,0.7301180524985126,0.3186022956102712,,0.5644486651682961,-0.31136984348885544
MLP-CNN-LSTM-Log,0.583941605839416,0.7246376811594203,0.9375,0.5905511811023622,0.5938596491228071,0.7126717054082892,0.30524686230856035,,0.5524915042863197,-0.25639876286608976
Ensemble,0.5912408759124088,0.7383177570093458,0.9875,0.5895522388059702,0.6383771929824562,0.7578359252047016,0.26715080775344574,,0.5168663345135237,-0.09959506814132069
